,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
Hajee Karutha Rowther Howdia College (Id: C-36545),92,69,4,2,,,85,65,1,,67,44,2,2
Haji Ajmal Ali College (Id: C-61307),10,4,,,,,1,1,,,10,2,,
Haji Ghouse Peeran Memorial College (Id: C-55287),14,1,,,,,,,,,2,,1,
Haji Jamaluddin Thim Trust College of BHTM BM S and B Sc Computer Science  Saibaba Vihar Complex Thane West  400 601 (Id: C-33756),2,,,,,,,,,,2,,,
Haji Jamaluddin Thim TrustTheem College of Engineering  At Village Betegaon Boisar Chikhar Road (N.H.No.8) Near Union Park Boisar(E) Tal Palghar Dist. Thane 401 501 (Id: C-34018),101,19,,,,,,,,,57,4,1,
HAJIKAREEM COLLEGE OF EDUCATION (Id: C-55029),5,4,,1,,,5,3,,,2,1,,
Haji Karim Mohammed Suleman Charitable Trust CUMMOO JAFFER SULEMAN COLLEGE OF ARTS AND COMMERCE FOR WOMEN (Id: C-48494),,11,,,,,,,,,,10,,
Haji Saheb Teachers Training College (Id: C-58499),16,6,3,,,,3,,,,3,,1,
HAJI SAYED PROGRESSIVE TEACHERS TRAINING INSTITUTE (Id: C-60634),26,6,1,1,,,,,,,9,1,,
HAJI WARIS ALI SHAH MEMORIAL DEGREE COLLEGE (Id: C-52883),1,1,,,,,1,,,,,1,,
"HAJRA MEMORIAL COLLEGE MALHARGARH, KHALWA (Id: C-48760)",5,3,2,,,,3,1,,1,1,1,,2
"Hajratbaba Tajuddin Arts Commerce College, New Subhedar Layout (Id: C-18591)",10,3,,,,,,,,,1,,1,
"Hakeem Harbans Singh New Era College of Education, Sant Nagar, Rania (Id: C-22412)",7,10,1,,,,1,3,,,,,5,9
HAKEEM RAIS UNANI MEDICAL COLLEGE AND HOSPITAL (Id: C-62600),28,7,,,,,10,2,1,,28,7,,
Hakikullah Chaudhary College of Pharmacy (Id: C-61565),7,,,,,,1,,,,6,,,
"Hakim Kishori Lal  College of Nursing,  Guruharsahai, Distt.  Ferozepur (Id: C-29220)",5,29,1,,,,,1,1,,,,3,22
"Hakim Mahtabuddin Hashmi Law College, Amroha (Id: C-13426)",7,5,,,,,3,1,,,6,4,,
"HAKIULLAH CHAUDHARY MAHAVIDYALAYA, DHARI GHAT, GONDA (Id: C-42425)",15,2,,,1,,6,,,,1,,,
"Halabavi School of Arts, Dharwad (Id: C-26690)",4,,1,,,,,,,,,,,
HALADHAR MAHATO TEACHERS TRAINING INSTITUTE (Id: C-50002),15,1,,,1,,6,1,,,,,,
"Haladia College, HaladiaKhurda (Id: C-39583)",14,6,,,,1,,,,,,,,
Halakura College (Id: C-17332),32,1,1,,,,3,1,,,18,,,
Haldaur DegreeCollege Haldaur  (Id: C-63089),10,1,2,,,,2,,,,1,,,
Haldia Government College (Id: C-19049),38,10,6,,1,,8,,,,4,,,1
Haldia Institute of Dental Sciencess and Research (Id: C-16437),39,9,,,,,1,,,,1,,,
Haldia Institute of Management 175 (Id: C-6320),18,17,0,,,,,1,,,2,1,,1
HALDIA INSTITUTE OF PHARMACY (Id: C-60107),14,6,,,,,1,,,,,,,
Haldia Institute of Technology 103 (Id: C-6238),222,98,17,8,,1,10,5,1,,3,2,,
Haldia Inst. of Maritime Studies and Research 179 (Id: C-6285),18,2,,,,,,,,,,,,
Haldia Law College (Id: C-19089),11,6,,,,,,,,,2,1,,
HALFAL MAHAVIDYALAYA (Id: C-54084),12,3,2,2,,,10,,,,1,,,
"HALIM MUSLIM P.G. COLLEGE, (Id: C-12570)",16,3,,,,,5,,,,15,3,,
Hallmark Business School (Id: C-25061),10,3,,,,,9,3,,,,1,,
"HALLMARK COMPUTER SERVICES, RATLAM (Id: C-31174)",2,2,1,,,,,1,1,,,,1,
Hamidia Girls Degree College (Id: C-36467),,31,,,,,,4,,,,28,,
"Hamirpur College of Education, Ward No. 10. Ram Nagar, Choulla, Hamirpur (Id: C-11283)",2,11,,,,1,,0,,,,,,
"Hampi Virupaksheshwara Swamy College,Vidyaranya ( Post) (Id: C-8586)",2,2,,,1,,1,2,,,,,,
HAMSA HOMEOPATHY MEDICAL COLLEGE HOSPITAL AND RESEARCH CENTRE (Id: C-61897),21,8,2,1,,,7,1,,,,1,3,1
Hamsini Degree College (Id: C-55288),16,4,2,,,,14,4,,,,,,
"Hanagal Taluka Education Society Arts and Commerce College, Akki-Alur - 581 102 Tq- Hanagal (Id: C-53329)",9,3,3,,2,,4,3,,,,,,
"Handia P.G.College,Handia,Allahabad (Id: C-15828)",73,13,2,1,,,13,2,,,,,,
Handique Girl's College (Id: C-17196),29,54,3,3,1,6,8,1,,,2,7,,3
"Haneefa Kunju Memorial College of Education, Umayanalloor P.O. (Id: C-43702)",4,4,,,1,,,1,,,,,1,1
Hanna College Of Education (Id: C-24110),7,4,2,2,1,1,1,,1,,,,2,
"HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY, SIDDHPUR 098  (Id: C-45059)",38,3,,,,,9,0,1,,5,,,
"Hans College, Jaipur (Id: C-39105)",22,11,2,1,,,15,4,,,,,,
"Hans College of Edu., Jaipur (Id: C-38625)",31,1,1,,2,1,8,,,,1,,,
Hans College Paota (Id: C-63107),11,1,,,,,7,1,,,,,,
"HANS LAW COLLEGE, KOTPUTLI (Id: C-53465)",5,4,1,,,,3,1,,,,,,
Hansraj Jivandas College of Education Samshodhan Sadan Junction of 16th and 17th Road Khar  Mumbai-400 052 (Id: C-33762),,8,,,,,,,,,,,,1
"Hans Raj Mahila Maha Vidyalaya, Jalandhar (Id: C-27957)",23,140,,1,,,,1,1,,,,7,36
"Hans Raj Memorial College of Education, Baja Khana, Kotkapura (Id: C-22127)",3,7,2,,,,,1,,,,,3,5
"Hanuman Shikshan Prasrak Mandals Ayur. Medical College, Peth Vadgaon, Kolhapur (Id: C-13935)",17,14,1,,,,3,3,,,1,1,,
"HANUMANT MAHAVIDYALAYA, LAHURPUR, HANUMANGANJ, (Id: C-12197)",1,,,,,,,,,,,,,
"Hanuman Vyayam Shala Krida Mandal's Physical Education College, Yavatmal. (Id: C-43065)",9,3,,,,,2,1,,,,,,
HANUMAT KRAPA MAHAVIDYALA (Id: C-62959),13,2,2,,,,9,1,,,3,1,,
"Hanumat Sanskrit Mahavidyalaya, Hanuman Gahri, Ayodhya (Id: C-20402)",6,1,,,,,,,,,,,,
"HANUMAT SHIKSHAN PRASHIKSHAN MAHAVIDYALAYA, SULTANPUR (Id: C-42552)",25,3,1,,,,,,,,,,,
"HAPPY CHILD COLLEGE OF NURSING,SONIPAT (Id: C-48780)",,33,,,,,,3,,,,1,,1
HAPPY COLLEGE OF EDUCATION (Id: C-28117),9,9,1,,,,3,2,,,,,,
Happy Valley Business School (Id: C-36939),10,4,,,,,,,,,,1,1,
"H.A. Rab Girls Degree College Jahangirabad Maunathbhanjan, Mau (Id: C-15997)",2,6,1,1,,,1,4,,,1,3,,
HARAGOPAL COLLEGE OF EDUCATION (Id: C-60745),13,2,1,,,,12,2,,,,,,
Harakhdeo Singh College of Education (Id: C-59004),7,2,,1,,,3,1,,,,,,
Haranahalli Ramaswamy Institute of Higher Education (Id: C-50945),8,13,,,,,3,10,,,,1,,
"Harbansh Dayaprakash Shyamadevi Mahavidyalaya, Dhavarsi (Id: C-13389)",14,5,5,1,,,5,3,,,,1,,
"Harda Adarsh College, Harda (Id: C-35316)",11,8,,,,,7,2,,,3,1,,1
"Harda Degree College, Manpura Chowk, Harda (Id: C-35326)",17,23,0,,,,7,3,,,1,,,
"HARDAYAL SINGH MAHAVIDYALAYA, PAHADPURA, SAMTHAR, JHANSI (Id: C-58687)",11,2,,,,,10,2,,,1,,,
"Hardeva Mahavidyalaya,Pagahi,Dhanapur,Chandauli (Id: C-51094)",10,2,3,,,,4,,,,,1,,
"Hardevanand Mahila Mahavidyala,Tenduhan,Saidaraja,Chandauli (Id: C-51095)",4,4,,,,,2,3,,,,,,
"Hardev Sanskrit Mahavidyalaya, Nevada (Id: C-20002)",7,1,2,,,,4,1,,,,,,
"HARDEV SINGH SANSKRIT COLLEGE, JASPUR (Id: C-58857)",4,1,,,,,,,,,,,,
HARDEV SINGH SMARAK COLLEGE JASPUR (Id: C-58874),9,7,,,,,1,,,,1,,,
"Hardik College of Education, Bhawanigarh (Id: C-22220)",4,12,1,3,,,1,3,,,,,3,7
Hardik College of Nursing (Id: C-55931),2,14,,3,,,,7,,,,,2,3
HARDZONE EDUCATIONAL SERVICES PVT. LTD. (Id: C-55257),4,2,,,,,,,,,,,,1
"HARE KRISHNA COLLEGE OF HUMANITIES, KANPUR (Id: C-59545)",10,3,1,1,,,4,1,,,,,,
Harendra Citra College (Id: C-17175),22,5,,3,,,,,,,20,1,,
HARF COLLEGE MALERKOTLA (Id: C-47300),4,15,1,,,,1,5,,,1,6,3,2
"HARGOVIND SINGH MEMORIAL DEGREE COLLEGE,ERVA KATRA (Id: C-47767)",2,,2,,,,,,,,,,,
"Harhi College P.O. Harhi, Dhakuakhana (Id: C-8362)",24,14,,,1,,17,11,,,,,,
HARIBAPA CHARITABLE TRUST ARTS & COMMERCE COLLEGE-JASDAN (Id: C-751),7,7,1,1,,,3,1,,,,,,
"Hari Bhau Upadhyaya Mahila Shikshak Prashikshan Mahavidyalaya, Hatundi (Id: C-13079)",1,17,,2,,,,3,,,,,,
HARI CHANDRA MAHAVIDYALAYA (Id: C-56531),8,5,,1,,,8,2,,,,,,
"HARI COLLEGE OF LAW RANDEVI, SHARANPUR (Id: C-28614)",6,7,,,,,1,2,,,1,3,,
"HARI COLLEGE OF MANAGEMENT 10 KM. DEHRADUN ROAD, GAGALHERI, SAHARANPUR  PH. 0132-2785544, 2785545, 09719897246 (Id: C-28976)",13,5,5,,,,7,2,,,,1,,
"HARI COLLEGE OF MANAGEMENT, GAGALHERI, SAHARANPUR (Id: C-46096)",3,1,1,,,,1,1,,,,,,
HARI COLLEGE OF PHARMACY (Id: C-63557),9,1,1,1,,,4,,,,1,,,
Haridarshan MSW College (Id: C-58346),3,,,,,,2,,,,1,,,
HARIDWAR AYURVEDIC MEDICAL COLLEGE AND RESEARCH CENTRE  (Id: C-58634),,2,,,,,,,,,,2,,
"Haridwar Bhatt Smarak mahavidyalaya, Rajpur, Gagha, Gorakhpur (Id: C-14160)",7,1,,,,,4,,,,1,,,
"Haridwar Education College, Kanya Gurukul Campus, Krishna Nagar, Haridwar (Id: C-24688)",2,9,,,,,1,1,,,,,1,
"HARIHAR PRASAD MAHAVIDYALAYA, KURWAR ROAD, SULTANPUR (Id: C-42560)",5,4,,,,,1,1,,,,,,
"HARI INSTITUTE OF TECHNOLOGY RANDEVI, SHARANPUR (Id: C-28573)",30,23,3,,,,22,10,,,1,3,1,
Hari Jyot College of Optometry (Id: C-665),7,2,,,,,1,0,,,,,,
Harimohan Ghosh College (Id: C-11864),19,21,4,1,,1,4,4,,,3,3,,1
"Harinandan Mahavidyalaya, Sarai Rasulpur (Hatwapar (Id: C-13685)",1,,,,,,1,,,,,,,
"Harinarayan Singh Institute of Teachers Education, Sasaram (Id: C-36588)",19,7,3,,,,3,,,,2,,,
Haringhata Mahavidyalaya (Id: C-7091),40,22,7,4,1,,10,3,2,,5,,,
"Hariom Mahavidyalaya,Aatreetha, Azamgarh (Id: C-15993)",3,,,,,,1,,,,,,,
Hariom Senior College Turkabad (Id: C-62418),5,3,,,,,3,3,,,1,,,
HARI OM SEVA SANSTHAN TT COLLEGE (Id: C-63864),10,4,,,1,,6,3,,,,,,
Hari Om Shiv Om College of Education (Id: C-10824),7,4,,,,,,4,,,1,,,
"Haripal Ji Smarak Mahavidyalaya, Daraura Karha, Mau (Id: C-15959)",6,2,1,,,,2,1,,,,,,
Hari Parkash Institute of Management and Technology (Id: C-59872),9,16,4,5,,,,1,,,,,2,8
HARI PRASAD CHANDRAWATI SHIKSHAN PRASHIKSHAN MAHAVIDYALAYA SEEHMAI KARIRAT AMBEDKARNAGAR (Id: C-52714),7,4,,1,,,2,2,,,,,,
"HARI PRASAD NIRMALA WITS MAHAVIDYALAYA, GOKULPUR (Id: C-52854)",6,3,,,,,5,2,,,,,,
"Hari Ram College, Mairwa (Id: C-19498)",12,2,5,1,,,4,1,,,2,,,
"Hariram Satyanarayan Institute of Higher Education, Islam Nagar (Id: C-36329)",14,9,1,1,,,10,1,,,,,,1
"HARISH ANJANA COLLEGE, CHHOTISADRI (Id: C-48285)",8,7,1,,1,,2,1,,,,2,,
"Harishankar Prasad Vidhi Mahavidyalaya, Dharmsthali, Chitbaragaon, Ballia (Id: C-13665)",4,,1,,,,2,,,,1,,,
"Harishchand Mahavidyalaya, Kavala ,Jakhaniya, Ghazipur (Id: C-15853)",6,1,2,,,,2,,,,,,,
harishchandra chaudhari mahavidyalay (Id: C-59125),13,4,1,1,,,5,2,,,,,,
"Harishchandra Chaudhari Mahila Mahavidyalaya, Jangipur, Ghazipur (Id: C-60699)",1,,1,,,,,,,,,,,
"Harishchandra Mahavidyalaya, Maudhiya , Ghazipur (Id: C-16034)",2,,,,,,1,,,,,,,
"HARISH CHANDRA MAHAVIDYALAYA, SAROULI, FAIZABAD (Id: C-42603)",10,,,,,,2,,,,,,,
HARISHCHANDRA MAHAVIDYALAYA SONBHADRA (Id: C-46462),5,3,,,,,,1,,,,,,
"Harishchandra P.G.College, Varanasi (Id: C-13516)",53,22,4,,,,13,3,,,,,,
Harishchandrapur College (Id: C-42696),16,5,3,1,,,7,3,,1,6,,,
"Harish chandra Research Institute (HRI),Allahabad (Id: C-39253)",23,4,,,,,,,,,,,,
"HARI SINGH ARYA MAHAVIDYALAYA, GADIYAGAON (Id: C-22488)",13,4,3,1,,,7,,,,,,,
HARI SINGH RUPRAH ARTS COMMERCE  AND LAW COLLEGE (Id: C-59454),2,10,,1,,,1,1,,,,,,3
Haritha Nursing Academy (Id: C-55291),8,25,2,4,,,4,11,,,,,,2
HARI VANDANA COLLEGE-RAJKOT (Id: C-1022),46,26,2,1,,,14,7,,,3,0,,
HARIVANDANA PHYSIOTHERAPY COLLEGE (Id: C-56496),2,5,,1,,,,,,,,,,
"HARIVANSHI DWARIKA COLLEGE & EDUCATION, DURKHUSHI, MARDAH, GHAZIPUR (Id: C-49550)",4,2,,,,,2,1,,,,,,
HARKALI DEVI GIRLS MAHAVIDYALAYA (Id: C-62757),11,2,,,,,,,,,,,,
"Harkamaya College of Education, 6th mile, Samdur (Id: C-6595)",6,18,,1,,3,2,5,,,,,,5
"HARKESH SINGH RANA MAHAVIDHYALYA VILL.-JEEWALA TEHIL-BEHAT DISTT. SAHARANPUR PH. No. 0132-2728282, 9412232944, 9219552788 (Id: C-28872)",13,4,1,,,,3,,,,,,,
"HARLAL INSTITUTE OF MANAGEMENT AND TECHNOLOGY, GREATER NOIDA (Id: C-46230)",12,15,,,,,3,2,,,,1,,
"HARLAL INST. OF MANAGEMENT & TECHNOLOGY PLOT No. - 8, INSTITUTIONAL AREA, GREATER NOIDA Ph. No :-  09810128598 (Id: C-28925)",17,29,,,,,2,3,,,,1,,
"HARLAL SCHOOL OF LAW PLOT No. - 8, INSTITUTIONAL AREA, GREATER NOIDA Ph. No :-  09810128598 (Id: C-28967)",13,7,,,,,2,2,,,,,,
HARMILAP INSTITUTE OF COMPUTER & TECHNOLOGY BURHAR (Id: C-31091),2,6,,,,,,1,,,,,,
"HARMILAP INSTITUTE OF COMPUTER & TECHNOLOGY, SHAHDOL (Id: C-31542)",12,18,,,,,,,,,,1,1,1
HARMILAP INSTITUTE OF EXCELLENCE (Id: C-53778),2,4,,,,,,1,,,,,,
"Harnamdas Lekhraj Institute of Education, Chak 24, B.B. (Id: C-36867)",13,2,,,,,1,1,,,,,1,
"HARPRATAP SINGH YADAV MAHAVIDYALAYA, HANDIYA, (Id: C-12380)",13,6,,1,1,,6,2,,,,,,
"HARSAHAI P.G. COLLEGE, (Id: C-12333)",14,11,,,,,2,1,,,,,,
"Harsha College of Education, Kothara, Azamgarh (Id: C-57858)",8,,1,,,,5,,,,,,,
Harsha College of Nursing (Id: C-40188),6,13,,,,,1,1,,,1,1,,6
HARSHA INSTITUTE OF ALLIED HEALTH SCIENCES (Id: C-57019),16,6,,1,1,,2,,,,,,2,
HARSHA INSTITUTE OF MANAGEMENT STUDIES (Id: C-60819),2,5,,,,,,,,,,,,
HARSHA INSTITUTE OF PHYSIOTHERAPY (Id: C-57265),5,11,,,,,,1,,,,1,2,2
HARSHASRI DEGREE COLLEGE-VELGATOOR (Id: C-52509),13,,,,,,10,,,,,,,
"Harsh Bhaskar PG College, Buhana, Jhunjhunun (Id: C-38665)",5,6,1,2,,,4,2,,,,,,
HARSH COLLEGE OF EDUCATION (Id: C-28134),13,6,,,,,,,,,,,,
HARSH COMPUTER CENTER PATHARIA  (Id: C-53711),2,5,,,,1,,,,,,,,2
Harshini Degree College (Id: C-25989),8,4,,,,,,,,,3,,,
"Harsh Mahavidhyalaya, Mehrara Road, Sahpau, Hathras (Id: C-57260)",3,,,,,,1,,,,,,,
"HARSH MAHILA MAHAVIDYALAYA, DEHLI BAZAR, SULTANPUR (Id: C-42338)",1,22,,,,,,2,,,,,,
"Harsh TT College, Alwar (Id: C-38570)",11,5,,1,,,5,3,,,,,,1
"Harsh Vidhya Mandir Degree College, Rayasi, Haridwar (Id: C-24691)",30,20,5,3,1,,9,5,,,,,,
 Harsiddhi Arts commerce  Science College Aurangabad  (Id: C-61687),9,8,2,,,,2,1,,,,,2,
Harsiddhi soft skills development College Harsul Aurangabad  (Id: C-61677),6,,1,,1,,,,,,,,1,
Harur Muthu Arts & Science College for Women (Id: C-9502),12,2,6,,1,,,1,,,,,,
Harvard College of Education (Id: C-30794),,10,,,,,,,,,,,,6
Haryana College of Education (Id: C-10882),3,12,,1,,,,1,,,,,,
HARYANA COLLEGE OF EDUCATION (Id: C-28047),3,5,,,,,,,,,,,,
"Haryana College of Education, Dhani Bachan Singh, Ellenabad (Id: C-22436)",4,4,,,,,2,,,,,,,4
"Haryana College of Education Rampura Road, Safidon (Id: C-10873)",5,2,,,,,4,1,,,,,,
"Haryana College of Nursing, Sirsa (Id: C-30729)",3,20,,1,,,,,,,,,1,10
HARYANA COLLEGE OF SPECIAL EDUCATION AND REHABILITATION (Id: C-57304),4,1,1,,,,1,1,1,,1,1,,
Haryana Engineering College (Id: C-10614),53,39,,,,,11,2,,,,,14,3
"Hasanamba College of Education, Hassan (Id: C-17477)",5,1,1,,,,2,,,,,,,
HASDEO INSTITUTE OF TECHNOLOGY  (Id: C-54695),3,1,,,,,,,,,2,1,,
"HASDEV COLLEGE OF EDUCATION, AAMAPALI, TILKEJA (Id: C-49167)",11,5,3,,,,2,2,,,,,,
"HASDEV COLLEGE OF EDUCATION,DARRIROAD (Id: C-49168)",2,2,,,1,,,1,,,,,,
" Hashmatrai & Gangaram Himathmal Mansukhani Institute of Management, Post Box No.17, Smt. CHM College Campus, Opp. Railway Station, Ulhasnagar, Dist. Thane  421 003 (Id: C-33502)",0,7,,,,,,,,,,,,
"Hashmi Mahila Mahavidyalaya, Amroha (Id: C-13365)",23,23,1,1,,,9,5,,,7,10,,
HASINI COLLEGE OF PHYSICAL EDUCATION (Id: C-57399),10,,,,,,10,,,,,,,
"HASITHA WOMENS DEGREE COLLEGE ,MIRYALGUDA (Id: C-54801)",16,6,3,1,1,,9,3,,,,,,
"HASMUKH GOSWAMI COLLEGE OF ENGG, VAHELAL 024 (Id: C-93)",34,12,1,1,,0,6,1,,,,,,
Hasmukh Goswami College of Engineering(SFI)-Vehlal Dahegam 718 (Id: C-342),3,3,,,,,,,,,,,,
"Hasnath Academy of Management Studies, No.43, Dickenson Road, Bangalore-42 (Id: C-20984)",1,4,,,,,1,3,,,1,2,,1
"Hasnath College for Women, 43, Dickenson Road, Bangalore-42 (Id: C-20702)",9,13,,,,,,,,,7,11,,
"Hasnath College, No.8/3, Byraveshwara Layout, Hennur Bande, Kalayanagar, Bangalore -43 (Id: C-21152)",2,9,,1,,,2,6,,,2,6,,1
Hassan Institute of Medical Sciences (Id: C-40164),84,41,12,5,3,,6,8,,,1,1,,
Hassan Khoyihami Memorial Degree College Bandipora (Id: C-21450),19,2,,,,,2,,1,,19,2,,
Hatichong College (Id: C-17207),9,11,,2,,,1,3,,,4,,,
Hatidhura College (Id: C-17236),23,4,3,,,,4,2,,,14,1,,
HAUSILA PRASAD SINGH SMARAK MAHILA MAHAVIDYALAYA SHARIFPUR GOVINDPUR SULTANPUR (Id: C-57614),4,4,1,,,,2,1,,,1,,,
"Havanur College of Law, Bangalore (Id: C-9840)",4,1,1,1,,,2,,,,,,,
"Hawabah Women's College, Jabalpur (Id: C-33460)",13,35,,1,,3,4,2,1,,,1,1,9
HAYAGREEVA COLLEGE OF EDUCATION (Id: C-63625),3,6,,1,,,1,,,,,,,
HAYAT UNANI MEDICAL COLLEGE AND RESEARCH CENTRE (Id: C-60057),24,12,,,,,6,4,,,24,12,,
Hazarath Ameeruddin College of Education (Id: C-39272),,1,,,,,,,,,,,,
"HAZARATH SAYYED MADANI BANATH WOMEN'S COLLEGE, ULLALA (Id: C-49342)",,10,,,,,,5,,,,5,,
HAZARIBAG COLLEGE OF DENTAL SCIENCES & HOSPITAL (Id: C-44441),52,18,,,,,,,,,3,2,,
"HAZARI LAL MAHAVIDYALAYA, PAHADAPUR, (Id: C-12575)",8,,,,,,,,,,,,,
HAZARI LAL MAHAVIDYALAYA SONKH KHERA MATHURA (Id: C-15340),1,,,,,,,,,,,,,
"HAZI ABDUL KAUYUM MEMORIAL DEGREE COLLEGE, MAUAIMA (Id: C-50052)",10,3,1,1,,,5,,,,1,,,
HAZI ABDULLAH MAHILA MAHAVIDYALAYA (Id: C-56919),7,1,,,,,1,1,,,2,1,,
Hazi A.K. Khan College (Id: C-7073),25,8,3,,1,,14,3,,,13,1,,
HAZI EBRAHIM MEMORIAL TEACHERS TRAINING COLLEGE (Id: C-57279),12,2,2,,,,9,,,,9,0,,
"HAZI ISMAIL MAHAVIDYALAYA, SADULLAHNAGAR, BALRAMPUR (Id: C-42391)",7,4,,,,,,2,,,6,2,,
"HAZI MAZARUDDIN MAHAVIDYALAYA, DUNDWA, GURSAHAIGANJ, (Id: C-12069)",3,,,,,,1,,,,1,,,
Hazi Naeemul Haque Degree College (Id: C-62508),16,10,1,,,,12,7,,,5,4,,
"HAZI NAWAB ALI DEGREE COLLEGE,JULHAPUR,DINGRAPUR (Id: C-48961)",11,4,,1,,,4,,,,2,,,
"HAZI NEWAZ ALI MAHAVIDYALAYA, DAULATPUR GRANT (Id: C-56901)",8,4,1,,,,3,3,,,1,,,
"HAZI RASHIDAN BEGUM AND HAJI SAHAB JAHAN EDUCATIONCAL INSTITUTE GANESH PUR, GANGDUNDWARA (Id: C-50670)",29,7,4,,,,14,1,,,3,5,,
Hazi Rustam Mallick Memorial College of Education (Id: C-59405),21,4,,,,,1,,,,11,2,,
"HAZI TAUFIQ ALI MAHAVIDYALAYA, GUNHA, GUGRAPUR, (Id: C-12182)",25,6,2,,,,4,2,,,2,,1,
"H. B. Arts, Commerce and Science College Pishor Ta kannad (Id: C-59860)",14,4,8,4,,,,,,,3,,,
H B Bhansali T T College (Id: C-53583),8,8,,,,,2,1,,,,,,
"H.B. College, Vijay Nagar, Jabalpur (Id: C-33357)",3,7,,,,,2,2,,,,,,
"H.B.H.MAHAVIDYALAYA NANEHERA, VEDBUGAMPUT, SAHARANPUR (Id: C-28746)",18,3,2,,,,1,,,,,2,1,1
H. B. Kapadia College of Education (Id: C-6010),8,20,1,1,1,,,3,,,,1,1,2
"H. B. Patel Institute of Diploma Engineering & Technology, Limbodara, Lunavada 676 (Id: C-184)",18,11,,,2,,4,1,,,5,1,1,
HBS DEGREE COLLEGE (Id: C-48800),2,7,,1,,,1,4,,,,,,1
"HCBM First Grade College, Jagalur (Id: C-42248)",13,3,2,,6,,1,3,,,,,,
H.C.D.C. College P.O. Nitaipkhuri-785671 (Id: C-8389),9,14,,2,1,2,6,7,,,,,,
H.D. COLLEGE OF EDUCATION (Id: C-28401),4,4,,,,,,1,,,,,,
"H.D. Jain College, Ara (Id: C-27145)",41,19,3,2,,,13,4,,,5,3,,
"H.D.JOSHI GOVT.GIRLS, COLLEGE, BANSWARA (Id: C-40028)",8,9,2,1,2,5,,,,,,,,
"H D Teacher Training Inst., Bharatpur (Id: C-39068)",11,5,,,,,6,2,,,,,,
"H.D.V. Science College, Panaspada, Puri (Id: C-39719)",8,4,,,,,,,,1,,,,
"HEALTHCARE MANAGEMENT INSTITUTE, KEM HOSPITAL, PUNE (Id: C-60086)",6,2,,,,,,,,,,1,,
Heardtland College of Nursing (Id: C-40590),2,8,,,,,,,,,,1,,5
"Hebbur Mahavidyalaya, Bhadravathi. (Id: C-17841)",6,3,,,,,5,2,,,1,,,
HEC GROUP OF INSTITUTIONS (Id: C-62141),6,19,,1,,,3,5,,,,,,
"Heera College of Engineering and Technology, Panavoor, Nedumangad (Id: C-43639)",1,,,,,,,,,,,,1,
HEERALAL SINGH TEACHERS TRAINING COLLEGE REWA (Id: C-59191),15,8,,,,,5,4,,,1,1,,
"HEERA LAL YADAV GIRLS DEGREE COLLEGE, SAROJNI NAGAR (Id: C-12722)",3,12,,,,,,,,,,,,
"HEERA LAL YADAV LAW COLLEGE, SAROJNI NAGAR (Id: C-12758)",4,,,,,,,,,,,,,
"Heeranand Mahavidyalaya, Narayanpur, Rasulpur, Rasra, Ballia (Id: C-13639)",6,3,,,,,2,,,,1,,,
"HEERA SINGH YADAV MAHAVIDYALAYA, GORARI, VIKRAMPUR, GHAZIPUR (Id: C-49908)",7,2,2,,,,2,1,,,,,,
HELAL TEACHERS TRAINING COLLEGE (Id: C-50758),17,,2,,,,1,,1,,,,,
"Helapuri Institute of Technology & Science,Vegavaram, Denduluru Mandalam, Eluru, PIN- 534 450  (CC-7E) (Id: C-17984)",40,21,13,5,1,,17,11,,,,,1,1
HELEN LOWRY COLLEGE (Id: C-61423),7,11,,,7,11,,,,,,,7,11
"Helioj College, Ujjain (Id: C-31742)",12,3,1,1,,,2,1,,,1,,,
Hellen Keller's Instiute of Research and Rehabilitation for the Disabled Children (Id: C-25479),12,12,1,1,,,7,3,,,1,1,1,3
"HEMADRI FIRST GRADE COLLEGE, TUMKUR (Id: C-47576)",8,6,6,2,,1,2,3,,,,,,
Hemadri Post Graduate Center (Id: C-6972),6,3,5,,,,1,3,,,,1,,
"Hemagangotri Post-Graduate Center, Hassan (Id: C-17494)",31,15,6,1,6,2,18,12,,,,,,
"HEMANT DEGREE COLLEGE, SADHONAGAR DAMDAM (Id: C-53061)",12,1,,,,,8,1,,,2,,,
"Hemant Nrutya Sangeet Kala Mahavidyalaya , Maltekdi Road , Amravati. (Id: C-43101)",2,,,,,,2,,,,,,,
Hemnalini Mamorial College of Engineering 343 (Id: C-49705),42,6,1,1,2,,,,,,,,,
HEMUJI CHANDELE  COLLEGE  SHELGAON   R TAL.BARSHI DIST. SOLAPUR. (Id: C-15739),4,10,,,,,1,2,,,,,,
"HEMWATI NANDAN BAHUGUNA P.G. COLLEGE, LALGANJ, PRATAPGARH (Id: C-42262)",6,2,,,,,,,,,,,,
"HEMWATI NANDAN BAHUGUNA RAJKIYA MAHAVIDYALAYA, NAINI, (Id: C-12232)",25,18,2,3,,,8,4,,,1,2,,1
"Henry Baker College, Melukavu, Melukavumattom P.O.-686 652 (Id: C-11825)",17,21,,,3,6,4,6,,,,1,15,15
Heramba Chandra College (Id: C-11974),38,48,5,1,,2,1,1,,,1,,,1
HERITAGE BUSINESS COLLEGE (Id: C-56573),4,1,1,,,,1,,,,,,,
Heritage Business School 304 (Id: C-6170),9,9,,,,,,,,,,,,
